Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R121,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,28.9052,-32.1304,90,top
R122,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,16.6116,-31.75,90,top
R123,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.3768,-51.6128,180,top
R124,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.4016,-52.498,90,top
R125,1k,R_1206_3216Metric,63.246,-47.4472,-90,top
R126,1k,R_1206_3216Metric,45.8456,-46.8592,-90,top
R127,1k,R_1206_3216Metric,47.1792,-42.4688,180,top
R128,1k,R_1206_3216Metric,61.8984,-43.3324,0,top
R129,10k,R_1206_3216Metric,47.8536,-35.9664,180,top
R130,10k,R_1206_3216Metric,63.3476,-36.6268,0,top
R131,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,61.8744,-31.8516,90,top
R132,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,49.276,-31.978,90,top
R133,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.076,-50.9524,180,top
R134,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.772,-50.784,90,top
R135,1k,R_1206_3216Metric,96.1136,-47.3724,-90,top
R136,1k,R_1206_3216Metric,77.8764,-45.49,-90,top
R137,1k,R_1206_3216Metric,79.986,-41.3512,180,top
R138,1k,R_1206_3216Metric,94.5388,-43.1292,0,top
R139,10k,R_1206_3216Metric,80.0368,-35.9664,180,top
R140,10k,R_1206_3216Metric,95.6056,-36.2712,0,top
R141,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,94.488,-31.6992,90,top
R142,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,81.9912,-31.75,90,top
R143,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.3848,-50.9016,180,top
R144,3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.554,-50.9684,90,top
R145,1k,R_1206_3216Metric,128.3716,-46.6852,-90,top
R146,1k,R_1206_3216Metric,111.4552,-45.696,-90,top
R147,1k,R_1206_3216Metric,113.0808,-41.2496,180,top
R148,1k,R_1206_3216Metric,126.8984,-42.5196,0,top
R149,10k,R_1206_3216Metric,113.2572,-36.1696,180,top
R150,10k,R_1206_3216Metric,128.4224,-36.6268,0,top
R151,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,126.9492,-31.6992,90,top
R152,50,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,114.6048,-31.6484,90,top
R153,7.5k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,150.7744,-30.7588,90,top
R154,7.5k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,145.7452,-23.7496,90,top
R155,7.5k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,186.1312,-30.8864,90,top
R156,7.5k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,193.0908,-24.3332,90,top
R157,5.6k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,148.4122,-19.4564,180,top
R158,5.6k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,191.5922,-19.5834,0,top
R159,5.6k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,156.3348,-32.1056,0,top
R160,360,C_1210_3225Metric,154.8384,-27.7368,90,top
R161,360,C_1210_3225Metric,157.3276,-19.05,0,top
R162,5.6k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,181.4068,-32.0548,180,top
R163,360,C_1210_3225Metric,182.9308,-27.94,90,top
R164,360,C_1210_3225Metric,183.7182,-19.4564,180,top
R165,100k,R_1206_3216Metric,158.0642,-27.8384,-90,top
R166,100k,R_1206_3216Metric,179.5272,-27.9654,90,top
R167,2.2,C_1206_3216Metric,173.4172,-11.7094,90,top
R168,2.2,C_1206_3216Metric,169.9768,-11.7348,90,top
